"","A549","HEK293T","K562","HeLa"
"hsa-miR-1291",0.173205764865417,0.149109298735461,0.0715657256590477,0.130057132563686
"hsa-miR-1292-5p",0.129430339466247,0.399751906617061,0.15801726538951,0.126125383212932
"hsa-miR-1293",0.0947933498349466,0.015480233017431,0.037421622223005,0.011640714011808
"hsa-miR-1294",0.180854325183558,0.03601795781396,0.0693769715591451,0.0298258270158565
"hsa-miR-1295a",0.0131040106956436,1.81428480370065,0.0295634162042635,0.00529779431631435
"hsa-miR-1296-5p",0.116816854195825,0.129870120366586,0.124548471683369,0.129338278651341
"hsa-miR-1299",0.114201068946161,0.029804628909322,0.00352190182698657,0
"hsa-miR-1301-3p",7.27802888679,18.4969720877569,0.275529592774348,12.1996039161573
"hsa-miR-1303",0.0336532400582237,0.0743352541863238,0.0635487787772515,0.0885401092795666
"hsa-miR-1304-5p",0.677020558589503,1.72958504888941,2.09948904901066,0.564522198697056
"hsa-miR-1305",0.00848743226832399,0.0548968593058812,0,0.0136186238785217
"hsa-miR-1307-3p",20.6048538425717,59.7930335495603,30.0216738092823,39.6234428999753
"hsa-miR-1307-5p",0.2153024605633,0.584751985756519,0.258617192917952,0.575173072972481
"hsa-miR-130a-3p",4.99768138809076,0.0460476193190745,0.0279911509667274,4.34462299111651
"hsa-miR-130b-3p",2.34847668090165,11.2529450257735,31.2015027579663,4.16673326712186
"hsa-miR-130b-5p",0.773651722411355,5.02631686742923,14.2742895594158,1.72506186618088
"hsa-miR-132-3p",34.9251494330729,18.2896710458251,7.88498537255781,19.3705126848065
"hsa-miR-132-5p",0.126115588861107,0.0907868674774001,0.0383628416356343,0.0937096691136722
"hsa-miR-133a-3p",0.0168439835087243,1.10897437498775,0.0166951673249453,0.00967409775885175
"hsa-miR-134-3p",0.042762675947143,0,0,0
"hsa-miR-134-5p",0.731155327385982,0,0.0179772620780018,0
"hsa-miR-1343-3p",0.102810664739851,0.600757171135972,0.186683324085932,0.121828234892698
"hsa-miR-135a-5p",0.0101137355732387,0.0402388147710928,1.29062121813868,0.00495139463456975
"hsa-miR-135b-5p",0.39580053860707,0.616939126261222,13.6442053712818,10.5837381765627
"hsa-miR-136-3p",0.0596860968971439,0,0.00463408135129812,0
"hsa-miR-137-3p",11.9579104620727,0.0448987038990636,0.0283712475815565,3.08371931434147
"hsa-miR-138-1-3p",6.01573889780785,0.296621639520288,0.00880924663367385,0.635978599017518
"hsa-miR-138-5p",5.0409988483065,0.0489101050230721,0.0153843328937028,0.456857723418126
"hsa-miR-139-3p",0.183615574956958,0.160070880834902,0.034296198630136,0.206113106545636
"hsa-miR-139-5p",7.17668726081883,3.26369463924071,0.603646852181491,6.851561140668
"hsa-miR-140-3p",8.54643546555817,8.5455044555858,8.10032981826921,7.49592615374917
"hsa-miR-140-5p",1.09009415004417,1.24058701849178,1.08174295423198,1.27562674625415
"hsa-miR-142-3p",0.0101266586255195,0.0510430089144892,12.9697477554371,0.0299146104936588
"hsa-miR-142-5p",0,0.0868221174089007,9.9867733152011,0.0395994496429655
