"","A549","HEK293T","K562","HeLa"
"ABLIM1",1.25497693800576,0.705986505111417,0.00477312923113718,0.567763856264812
"ABLIM2",0.00225317000122602,0.0124284081934136,0,0.00948212114205647
"ABLIM3",0.0909776815054339,0.0197683995878433,0.000332748658316056,0.0542017830364281
"ABO",0.000711108190539927,0.000273270345161465,0.574446973231176,0.00623039778011852
"ABR",0.897624829248163,0.350054695974377,0.0064093086418843,0.149206051250238
"ABRACL",0.524489574561218,0.946635659331737,0.0702710620801338,0.48862223342441
"ABRAXAS1",0.095364323158164,0.327534107179194,0.466455191071579,0.254989290318228
"ABRAXAS2",0.24262610862331,0.196580744439241,0.113294730224245,0.143296119414718
"ABT1",0.196904033093748,0.418696435511584,0.604888087430794,0.204520755559916
"ABTB1",0.0462347877596272,0.0450818245706264,0.00307368336831826,0.0912059835040726
"ABTB2",0.314857523542075,0.0859721899321493,0.000179591851122171,0.0388951114330867
"AC000093.1",0.0370610802692208,0.392804838072133,4.4461977888757,0.25967407000276
"AC000120.2",0.970869753670592,1.67541724569405,1.84488073788035,1.03243982726326
"AC000120.3",0.115292037652681,0.222071364581026,0.316433743181668,0.250073929734554
"AC001226.2",0.00407516848114473,0.0387183843310316,0.017038372971692,0.00881330030941595
"AC002094.3",0.00756574360505393,0,0,0
"AC002310.4",0.0119071785072648,0.017872373597408,0.00316133535880418,0.00912653602337861
"AC002985.1",0.00173124368209594,0.00167232612147696,0.000864705475079177,0.000681844960187217
"AC002996.1",8.93800244342661e-05,0.000254020632395443,0.00125593571813053,0
"AC003002.1",0.00777108729522307,0.0013569888082226,0.00104664562661009,0.00138817967692466
"AC003002.2",0.0420764417572164,0.0813783368095267,0.0853508035327874,0.00487089567791464
"AC003002.3",0.000766317579110428,0.000565338044137575,0.000475447333547248,0
"AC003005.1",0.00888095202142083,0.00309564011211774,0.000985695596340732,0
"AC003006.1",0.0281122032480067,0.00932641731852357,0.00550773657672042,0.00609104677565813
"AC003688.1",0.000706636165413553,0.00713470929747588,0.000192263904394205,0.000766249365360604
"AC004076.1",0.00172780804122616,0.000755031617369488,0.000113292945554086,0
"AC004080.3",6.13232374027792e-05,0.133571071286653,0.000491493048968432,0.00768487411068534
"AC004223.3",0.0598660832537087,0.0248370026484615,0.0309802787055226,0.016542090245258
"AC004593.3",0.00783498262670856,0.044200050204874,0.000627122878162314,0.0149906367447144
"AC004687.2",1.16140691650567,0.616844004117777,1.01999329289627,0.507915247960014
"AC004691.2",0.000176561976194342,0.000754409696540237,0.00104140955519941,0
"AC004706.3",0.0105836124312511,0.00428059333725432,0.00374444369071203,0.00665753362891548
"AC004805.1",0.00645198245919117,0.0144941446204179,0.0015216071731783,0.00224539376388505
"AC004832.3",0.5147152056403,0.525411304140673,0.41230706217955,0.471493719001667
"AC004922.1",1.33563661909322,0.678326437227805,1.70072043183632,1.97105154530006
"AC004997.1",0.023657322754821,0.0214194253529509,0.00365502190568706,0.00621303871525251
"AC005020.2",0.00383156769923956,0.00623055790271696,0.00508586852855904,0.00870685064720436
"AC005041.1",0.00217117033751298,0.00748931658080077,0,0.00722905537724316
"AC005154.5",0.224410151708425,0.242002092924202,0.275787119617719,0.246173287318391
"AC005258.1",0.0411653622358144,0.049102612028672,0.0532940447212724,0.0576829294130495
"AC005324.3",0.0464080966661658,0.00445593788624348,0.00234422352114962,0.0149772008395945
"AC005324.4",0.074708010888728,0.140781991338956,0.0437518032320059,0.0545616132041612
"AC005520.1",0.486730069118601,0.279643231647139,0.218079128220442,0.28459624548491
"AC005670.2",0.0744711265465205,0.0387662533047486,0.0474936959288042,0.0813984135773883
"AC005697.1",0.00258306271362468,0.0049921181782122,0.00154590459481505,0.00719575435194711
"AC005702.1",0.0105195774164417,0.0158397727895198,0.00980944347406816,0.0433164145886719
"AC005726.1",0.022246810976747,0.0456724487598181,0.12290226087952,0.0536198607333756
"AC005832.4",0.0427359324390675,0.0197475384782814,0.00996968989562919,0.0219525205179781
"AC005833.1",0.10510065904693,0.169533615133289,0.119912134293169,0.133491112563755
"AC005837.2",0.0118821330284958,0.0225473970912512,0.0122872104155081,0.0102150560222096
"AC005943.1",1.6016033327913,2.50015065030409,2.41992231068559,2.26941432526561
"AC006030.1",0.0505276355480583,0.173181378702909,0.0502094518316663,0.0542375282798394
"AC006059.2",0.0579080343560003,0.115142677987661,0.150720176191571,0.0603407056684035
"AC006064.6",1.28688768769541,2.24076523000094,2.6260396004299,1.22274702885759
"AC006254.1",0.00332593728342661,0.0276573188582257,0.00437432076562565,0.0182907573025783
"AC006486.1",0.00164096137730352,0.000312586223952247,0.000181124895717285,0.000293070599120095
"AC006538.2",0.00187876936545327,0.00107209366101442,0.00390123565699666,0.000499908331591022
"AC006978.2",0.00557747222660277,0.00676338853951982,0.00692228475967865,0.0039023054083107
"AC007040.2",0.00281193725087143,0.0412547492393443,0.00325715027139791,0.0567721605735001
"AC007192.1",0.469133975791031,1.14408101154916,1.48396017086496,2.54402982777855
"AC007326.4",0.00321775188845148,0.00693491838195792,0.00267334603784751,0.00336529808432771
"AC007375.2",0.00537417823152134,0.00422445349754183,0.0016217654979779,0.00691462622532046
"AC007906.2",0.00506175950916179,0.000393248523409102,0.000841375602477881,0.000674517311710092
"AC007998.2",0.0145497080107953,0.0413810478232406,0.0536916315191778,0.0182432435814301
"AC008012.1",0.497187832230119,0.424458892968182,0.131705110742826,0.302610238461547
"AC008073.3",0.0108693438612737,0.0144911342413807,0.00399093552396741,0.00532237649826358
"AC008162.2",0,0,0.00307281874869275,0
"AC008397.2",0.00140444606116518,0.0122330959337753,0.00161915771279229,0.0157291718529863
"AC008403.1",0.000825708525824572,0,0.00110433309160308,0.00265179468182452
"AC008537.1",0.0010455337408995,0,0,0
"AC008575.1",0.469932290567446,0.365262029928705,0.264497913394894,0.348664095212819
"AC008581.2",0.293047849750971,0.4038708214898,0.218810393679524,0.176809042384504
"AC008676.3",0.000127905447880311,0.000250283473878204,0,0
"AC008687.1",0.0163556048739546,0.00318820825229333,9.10565840621534e-05,0.000738516914377129
"AC008687.8",0,0,0,0.000254944091887411
"AC008695.1",0.222635289971212,0.159164880863912,0.164055991480108,0.228316241823498
"AC008750.8",0.0150437187314571,0.00432508942760303,0.0121871757116031,0.0135877979006257
"AC008758.1",0.00570131909486563,0.0441733001082775,0.0052955847658877,0.0131324757176178
"AC008758.5",0.00115481787530504,0.000727210426631848,0.000795382904153427,0.00152882328115534
"AC008758.6",0.000601371168192413,0.0114447507168251,0.00135450056090503,0
"AC008763.2",0.563313249171547,1.21693146670865,1.23530042390733,0.648732079609033
"AC008763.3",0.539744998493619,1.26706096684336,0.595067074801807,1.2437727429968
"AC008764.1",0.00893357024885628,0.00738566687185818,0.0096908883704661,0.0191672599474167
"AC008764.4",0.0173759008715695,0.0118926227315299,0.0304672026361589,0.035353635896126
"AC008770.1",0,0.00200530569153019,0.0043988051273127,0.00451328383472671
"AC008770.2",0.0072648219277884,0.0229785868477474,0.112535616155098,0.0657930957630589
"AC008770.4",0,0.000599544034497672,0.0391889066095952,0.00891891663168322
"AC008878.1",0.00280120003155747,0.00381624439117977,0,0.00030079547197775
"AC008878.2",0.0141209545071452,0.0287283756876611,0.0221592777324431,0.0309586222618054
